"Set Number","Element ID","Quantity","Colour","Category","Design ID","Element Name","Image URL"
"77242","6515219",1,"Bright Red","Vehicle, Mudguard","3388","Front Wheel Aero Deflector / Winglet (Left)",""
"77242","6515220",1,"Bright Red","Vehicle, Mudguard","3389","Front Wheel Aero Deflector / Winglet (Right)",""
"77242","6539343",4,"Black","Vehicle, Wheel / Rim","112498","Dish 16mm Aero Wheel Cover Hubcap (Rosso Corsa Ring)",""
"77242","6535158",1,"Bright Red","Hose, Flexible","100745","Halo Roll-Bar Titanium Protection Arch (56mm)",""
"77242","6535176",1,"Bright Red","Minifig, Headwear","18674","Minifigure Racing Helmet with HP Visor Band",""
"77242","6515221",2,"Bright Red","Bar & Clip","80179","F1 Rearview Aero Mirror Pod (Spoon No. 1)",""
"77242","6472255",1,"Titanium Metallic","Minifig, Weapon / Tool","106739","F1 Racing Steering Wheel Yoke (Controller No. 3)",""
"77242","6342816",2,"Black","Tire & Tread","80249","Speed Champions Pirelli Front Slick Tire 24 x 13.4",""
"77242","6538245",2,"Black","Tire & Tread","80249","Speed Champions Pirelli Rear Slick Tire 24 x 14.9 Wide",""
"77242","6481568",2,"Titanium Metallic","Vehicle, Wheel","107728","Wheel 24 x 13.4 with 4 Studs and Axle Hole",""
"77242","6538245",2,"Titanium Metallic","Vehicle, Wheel","112423","Wheel 24 x 14.9 Rear Wide with Axle Hole",""
"77242","6508988",1,"Black","Brick, Arch","6806","Brick 2 x 6 x 1 Inverted Venturi Arch (Nose Splitter)",""
"77242","6539344",1,"Bright Red","Plate, Modified","112499","Plate 1 x 4 x 2/3 Outside Bow Wing Splitter",""
"77242","6388484",8,"Black","Plate","3020","Plate 2 x 4 Undertray Spine & Diffuser Floor",""
"77242","6312480",12,"Black","Plate","3710","Plate 1 x 4 Chassis Spar & Bulkhead Crossbeam",""
"77242","6327409",4,"Black","Plate","3666","Plate 1 x 6 Floor Outer Edge Venturi Skid",""
"77242","614126",24,"Black","Plate","3023","Plate 1 x 2 Reinforcement & Bulkhead Tie",""
"77242","6047222",32,"Black","Plate","3024","Plate 1 x 1 Diffuser Vortex Generator & Mount",""
"77242","6245250",8,"Bright Red","Brick","3004","Brick 1 x 2 Monocoque Cell Wall",""
"77242","6015344",6,"Bright Red","Brick","3005","Brick 1 x 1 Cockpit Forward Pillar",""
"77242","6252044",8,"Bright Red","Bracket","99207","Bracket 1 x 2 - 2 x 2 Inverted (Sidepod Mounting)",""
"77242","6388484",6,"Bright Red","Slope, Curved","11477","Slope Curved 2 x 1 No Studs (Sidepod Aero Undercut)",""
"77242","6388484",4,"Bright Red","Slope, Curved","93606","Slope Curved 4 x 2 Triple Stepped Wedge (Sidepod)",""
"77242","6478902",4,"Bright Red","Slope, Curved","15068","Slope Curved 2 x 2 x 2/3 (Engine Cover & Nose Tip)",""
"77242","6254045",10,"Bright Red","Tile","2431","Tile 1 x 4 Front & Rear Wing Aerofoil Beam",""
"77242","6252044",18,"Bright Red","Tile","3069b","Tile 1 x 2 Smooth Finish Bodywork Tile",""
"77242","6254046",4,"Bright Red","Tile","3068b","Tile 2 x 2 Ground-Effect Aerofoil Plate",""
"77242","6284699",4,"Bright Red","Plate","2420","Plate 2 x 2 Corner Outwash Endplate",""
"77242","6174917",4,"Black","Tile, Modified","2412b","Tile 1 x 2 Radiator Cooling Matrix Grille",""
